presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 1 | hr: 42 → 41 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 5 | diastolic: 60 → 59 (-1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 5 | spo2: 94 → 95 (+1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 5 | etco2: 40 → 41 (+1)
presetScenarios.ts | MC ACLS 6 — TV Terapia Farmacológica | Paso 5 | rr: 10 → 11 (+1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 1 | hr: 130 → 131 (+1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 1 | systolic: 115 → 116 (+1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 1 | diastolic: 75 → 74 (-1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 1 | spo2: 90 → 91 (+1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 1 | rr: 30 → 31 (+1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 2 | hr: 120 → 121 (+1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 2 | systolic: 115 → 114 (-1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 2 | diastolic: 75 → 74 (-1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 2 | spo2: 98 → 99 (+1)
presetScenarios.ts | PALS Resp 1 — Dificultad Respiratoria | Paso 2 | rr: 20 → 19 (-1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 1 | hr: 170 → 169 (-1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 1 | systolic: 95 → 96 (+1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 1 | diastolic: 55 → 56 (+1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 1 | spo2: 89 → 88 (-1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 1 | rr: 100 → 101 (+1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 2 | hr: 170 → 169 (-1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 2 | systolic: 90 → 89 (-1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 2 | diastolic: 50 → 51 (+1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 2 | spo2: 94 → 95 (+1)
presetScenarios.ts | PALS Resp 2 — Insuficiencia Respiratoria | Paso 2 | rr: 70 → 69 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 1 | hr: 175 → 174 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 1 | systolic: 102 → 103 (+1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 1 | diastolic: 50 → 49 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 1 | spo2: 88 → 87 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 1 | rr: 58 → 59 (+1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 2 | hr: 175 → 174 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 2 | systolic: 90 → 89 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 2 | diastolic: 50 → 49 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 2 | spo2: 89 → 88 (-1)
presetScenarios.ts | PALS Resp 3 — Fallo Respiratorio | Paso 2 | rr: 58 → 57 (-1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 1 | hr: 82 → 81 (-1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 1 | systolic: 105 → 104 (-1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 1 | diastolic: 65 → 66 (+1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 1 | spo2: 89 → 88 (-1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 1 | rr: 6 → 7 (+1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 2 | hr: 82 → 83 (+1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 2 | systolic: 105 → 104 (-1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 2 | diastolic: 65 → 64 (-1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 2 | spo2: 98 → 99 (+1)
presetScenarios.ts | PALS Resp 4 — Depresión Respiratoria | Paso 2 | rr: 15 → 14 (-1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 1 | hr: 128 → 127 (-1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 1 | systolic: 82 → 83 (+1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 1 | diastolic: 58 → 59 (+1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 1 | spo2: 90 → 89 (-1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 1 | rr: 24 → 25 (+1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 2 | hr: 140 → 141 (+1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 2 | systolic: 80 → 81 (+1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 2 | diastolic: 58 → 59 (+1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 2 | spo2: 100 → 99 (-1)
presetScenarios.ts | PALS Shock 5 — Shock Hipovolémico | Paso 2 | rr: 22 → 21 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 1 | hr: 130 → 129 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 1 | systolic: 72 → 71 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 1 | diastolic: 56 → 55 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 1 | spo2: 67 → 68 (+1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 1 | rr: 24 → 23 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 2 | hr: 160 → 161 (+1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 2 | systolic: 82 → 81 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 2 | diastolic: 58 → 59 (+1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 2 | spo2: 80 → 79 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 2 | rr: 24 → 25 (+1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 3 | hr: 160 → 161 (+1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 3 | systolic: 55 → 54 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 3 | diastolic: 40 → 39 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 3 | spo2: 70 → 69 (-1)
presetScenarios.ts | PALS Shock 6 — Shock Distributivo | Paso 3 | rr: 24 → 25 (+1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 1 | hr: 130 → 129 (-1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 1 | systolic: 85 → 86 (+1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 1 | diastolic: 40 → 41 (+1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 1 | spo2: 95 → 94 (-1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 1 | rr: 15 → 14 (-1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 2 | hr: 128 → 127 (-1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 2 | systolic: 84 → 83 (-1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 2 | diastolic: 46 → 45 (-1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 2 | spo2: 98 → 97 (-1)
presetScenarios.ts | PALS Shock 7 — Shock Obstructivo | Paso 2 | rr: 15 → 16 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 1 | hr: 190 → 189 (-1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 1 | systolic: 74 → 75 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 1 | diastolic: 54 → 55 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 1 | spo2: 93 → 92 (-1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 1 | rr: 55 → 54 (-1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 2 | hr: 190 → 189 (-1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 2 | systolic: 74 → 75 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 2 | diastolic: 54 → 55 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 2 | spo2: 97 → 96 (-1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 2 | rr: 55 → 56 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 3 | hr: 189 → 190 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 3 | systolic: 74 → 75 (+1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 3 | diastolic: 54 → 53 (-1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 3 | spo2: 100 → 99 (-1)
presetScenarios.ts | PALS Shock 8 — Shock Cardiogénico | Paso 3 | rr: 56 → 57 (+1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 1 | hr: 235 → 236 (+1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 1 | systolic: 80 → 79 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 1 | diastolic: 60 → 59 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 1 | spo2: 92 → 91 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 1 | rr: 50 → 51 (+1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 2 | systolic: 80 → 79 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 2 | diastolic: 60 → 61 (+1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 2 | spo2: 100 → 100 (0)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 2 | rr: 50 → 49 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 3 | hr: 235 → 234 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 3 | systolic: 80 → 81 (+1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 3 | diastolic: 60 → 59 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 3 | spo2: 100 → 99 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 3 | rr: 50 → 49 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 4 | hr: 130 → 129 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 4 | systolic: 80 → 79 (-1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 4 | diastolic: 60 → 61 (+1)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 4 | spo2: 100 → 100 (0)
presetScenarios.ts | PALS Shock 9 — TSV | Paso 4 | rr: 46 → 47 (+1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 1 | hr: 50 → 49 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 1 | systolic: 85 → 84 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 1 | diastolic: 61 → 60 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 1 | spo2: 79 → 80 (+1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 1 | rr: 6 → 5 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 2 | systolic: 85 → 86 (+1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 2 | diastolic: 61 → 60 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 2 | spo2: 90 → 89 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 2 | rr: 16 → 15 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 3 | hr: 65 → 64 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 3 | systolic: 85 → 86 (+1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 3 | diastolic: 61 → 62 (+1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 3 | spo2: 94 → 95 (+1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 3 | rr: 16 → 15 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 4 | hr: 36 → 35 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 4 | systolic: 36 → 35 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 4 | diastolic: 20 → 19 (-1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 4 | spo2: 64 → 65 (+1)
presetScenarios.ts | PALS Shock 10 — Bradicardia | Paso 4 | rr: 2 → 3 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 1 | systolic: 32 → 33 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 1 | diastolic: 20 → 21 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 1 | spo2: 67 → 68 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 1 | rr: 10 → 9 (-1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 2 | hr: 62 → 63 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 2 | systolic: 32 → 33 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 2 | diastolic: 20 → 21 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 2 | spo2: 97 → 98 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 2 | rr: 10 → 11 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 3 | hr: 120 → 119 (-1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 3 | systolic: 68 → 67 (-1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 3 | diastolic: 50 → 51 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 3 | spo2: 98 → 99 (+1)
presetScenarios.ts | PALS Shock 11 — Asistolia/AESP | Paso 3 | rr: 10 → 11 (+1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 1 | hr: 220 → 221 (+1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 1 | systolic: 30 → 31 (+1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 1 | diastolic: 20 → 19 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 1 | spo2: 67 → 66 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 2 | systolic: 30 → 31 (+1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 2 | diastolic: 20 → 19 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 2 | spo2: 97 → 98 (+1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 2 | rr: 10 → 9 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 3 | hr: 120 → 119 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 3 | systolic: 73 → 72 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 3 | diastolic: 48 → 47 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 3 | spo2: 100 → 99 (-1)
presetScenarios.ts | PALS Shock 12 — TV sin pulso/FV | Paso 3 | rr: 10 → 11 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 1 | hr: 20 → 21 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 1 | systolic: 40 → 41 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 1 | diastolic: 20 → 19 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 1 | spo2: 82 → 81 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 2 | hr: 32 → 33 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 2 | systolic: 40 → 39 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 2 | diastolic: 20 → 21 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 2 | spo2: 82 → 81 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 3 | hr: 45 → 46 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 3 | systolic: 40 → 39 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 3 | diastolic: 25 → 26 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 3 | spo2: 85 → 86 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 3 | rr: 5 → 6 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 4 | hr: 65 → 66 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 4 | systolic: 40 → 41 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 4 | diastolic: 25 → 26 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 4 | spo2: 88 → 89 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 4 | rr: 15 → 14 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 5 | hr: 100 → 99 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 5 | systolic: 40 → 41 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 5 | diastolic: 25 → 26 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 5 | spo2: 90 → 89 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 5 | rr: 20 → 21 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 6 | hr: 120 → 119 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 6 | systolic: 60 → 59 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 6 | diastolic: 35 → 34 (-1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 6 | spo2: 90 → 91 (+1)
presetScenarios.ts | NRP 1 — Sufrimiento Fetal | Paso 6 | rr: 20 → 19 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 1 | hr: 44 → 45 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 1 | systolic: 45 → 44 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 1 | diastolic: 30 → 31 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 1 | spo2: 85 → 84 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 1 | rr: 3 → 4 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 2 | hr: 55 → 54 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 2 | systolic: 45 → 44 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 2 | diastolic: 30 → 31 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 2 | spo2: 87 → 86 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 2 | rr: 10 → 11 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 3 | hr: 70 → 69 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 3 | systolic: 45 → 46 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 3 | diastolic: 30 → 31 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 3 | spo2: 88 → 89 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 3 | rr: 10 → 11 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 4 | hr: 100 → 99 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 4 | systolic: 45 → 46 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 4 | diastolic: 30 → 29 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 4 | spo2: 90 → 91 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 4 | rr: 20 → 19 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 5 | hr: 130 → 131 (+1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 5 | systolic: 40 → 39 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 5 | diastolic: 20 → 19 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 5 | spo2: 80 → 79 (-1)
presetScenarios.ts | NRP 2 — Prolapso de Cordón | Paso 5 | rr: 40 → 41 (+1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 1 | hr: 80 → 79 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 1 | systolic: 65 → 64 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 1 | diastolic: 40 → 41 (+1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 1 | spo2: 85 → 86 (+1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 2 | hr: 110 → 109 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 2 | systolic: 65 → 66 (+1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 2 | diastolic: 40 → 41 (+1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 2 | spo2: 90 → 91 (+1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 2 | rr: 20 → 19 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 3 | hr: 130 → 129 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 3 | systolic: 65 → 64 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 3 | diastolic: 40 → 39 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 3 | spo2: 95 → 94 (-1)
presetScenarios.ts | NRP 3 — Aspiración Meconio | Paso 3 | rr: 60 → 59 (-1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 1 | hr: 150 → 151 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 1 | systolic: 40 → 41 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 1 | diastolic: 20 → 19 (-1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 1 | spo2: 60 → 61 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 1 | rr: 3 → 2 (-1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 2 | hr: 165 → 166 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 2 | systolic: 40 → 39 (-1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 2 | diastolic: 20 → 19 (-1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 2 | spo2: 75 → 76 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 2 | rr: 20 → 19 (-1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 3 | hr: 170 → 171 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 3 | systolic: 40 → 39 (-1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 3 | diastolic: 30 → 31 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 3 | spo2: 85 → 86 (+1)
presetScenarios.ts | NRP 4 — Prematuridad 25 semanas | Paso 3 | rr: 60 → 59 (-1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 1 | hr: 185 → 186 (+1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 1 | systolic: 40 → 41 (+1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 1 | diastolic: 20 → 21 (+1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 1 | spo2: 88 → 89 (+1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 1 | rr: 65 → 64 (-1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 2 | hr: 185 → 184 (-1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 2 | systolic: 65 → 66 (+1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 2 | diastolic: 46 → 45 (-1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 2 | spo2: 95 → 94 (-1)
presetScenarios.ts | NRP 5 — Corioamnionitis | Paso 2 | rr: 45 → 46 (+1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 1 | hr: 37 → 36 (-1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 1 | systolic: 78 → 77 (-1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 1 | diastolic: 42 → 41 (-1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 1 | spo2: 91 → 90 (-1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 1 | rr: 16 → 17 (+1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 4 | hr: 45 → 46 (+1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 4 | spo2: 84 → 85 (+1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 4 | rr: 12 → 11 (-1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 5 | hr: 73 → 74 (+1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 5 | systolic: 92 → 93 (+1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 5 | diastolic: 58 → 59 (+1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 5 | spo2: 94 → 93 (-1)
presetScenarios.ts | MC Laerdal 1 — Bradicardia Inestable (Extrahospitalario) | Paso 5 | rr: 16 → 17 (+1)
presetScenarios.ts | MC Laerdal 2 — Bradicardia (Restaurante) | Paso 1 | hr: 44 → 43 (-1)
